entidad_origen,entidad_destino,entidad_cvegeo,tasa_movilidad
1,1,1,0
1,2,1,2.30E-05
1,4,1,4.11E-05
1,5,1,8.36E-06
1,9,1,4.81E-05
1,11,1,0.000378493
1,13,1,8.36E-06
1,14,1,0.001055321
1,15,1,0.000105253
1,17,1,2.02E-05
1,19,1,6.69E-05
1,20,1,1.39E-05
1,21,1,2.37E-05
1,22,1,4.81E-05
1,23,1,1.39E-05
1,24,1,0.000361764
1,26,1,5.58E-06
1,27,1,2.58E-05
1,28,1,5.58E-06
1,29,1,1.39E-05
1,30,1,5.44E-05
1,32,1,0.001771182
2,2,2,0
2,3,2,0.000174697
2,4,2,7.15E-06
2,5,2,7.43E-06
2,7,2,5.23E-06
2,8,2,2.56E-05
2,9,2,3.58E-06
2,11,2,1.10E-06
2,14,2,5.78E-05
2,16,2,3.33E-05
2,18,2,9.35E-06
2,19,2,1.84E-05
2,22,2,1.62E-05
2,25,2,9.44E-05
2,26,2,0.000244576
2,28,2,1.05E-05
2,30,2,8.80E-06
2,31,2,3.03E-06
3,2,3,0.000196345
3,3,3,0
3,5,3,4.97E-06
3,7,3,8.70E-05
3,8,3,4.35E-05
3,9,3,2.49E-06
3,11,3,8.95E-05
3,14,3,9.82E-05
3,15,3,6.21E-06
3,16,3,1.74E-05
3,22,3,1.24E-05
3,23,3,8.70E-05
3,30,3,8.70E-05
4,4,4,0
4,5,4,3.10E-05
4,6,4,1.60E-05
4,7,4,6.10E-05
4,10,4,5.00E-06
4,11,4,7.00E-06
4,14,4,5.00E-06
4,15,4,7.20E-05
4,19,4,2.70E-05
4,23,4,0.000754534
4,25,4,3.30E-05
4,27,4,0.000187884
4,28,4,1.10E-05
4,30,4,9.39E-05
4,31,4,0.001802888
5,1,5,7.77E-05
5,3,5,6.84E-06
5,5,5,0
5,6,5,4.97E-06
5,8,5,0.000165904
5,9,5,3.42E-06
5,10,5,0.004621402
5,11,5,5.72E-05
5,12,5,2.17E-06
5,13,5,2.39E-05
5,14,5,7.39E-05
5,15,5,3.57E-05
5,16,5,7.77E-06
5,17,5,2.61E-05
5,19,5,0.001137098
5,20,5,1.37E-05
5,21,5,1.74E-05
5,22,5,8.61E-05
5,23,5,1.96E-05
5,24,5,3.26E-05
5,25,5,3.73E-06
5,26,5,4.16E-05
5,28,5,0.000148506
5,30,5,4.16E-05
5,32,5,0.000270915
6,1,6,8.66E-05
6,2,6,3.31E-05
6,4,6,6.37E-05
6,5,6,1.15E-05
6,6,6,0
6,8,6,0.000131185
6,9,6,0.000208876
6,10,6,5.09E-06
6,11,6,3.95E-05
6,12,6,5.09E-06
6,13,6,2.55E-06
6,14,6,0.00229382
6,15,6,1.27E-05
6,16,6,0.000911924
6,17,6,8.92E-06
6,18,6,1.53E-05
6,19,6,5.86E-05
6,20,6,8.92E-06
6,21,6,1.27E-06
6,22,6,1.78E-05
6,25,6,7.01E-05
6,26,6,1.02E-05
6,30,6,3.31E-05
6,31,6,2.55E-06
6,32,6,6.24E-05
7,2,7,3.04E-05
7,3,7,8.73E-07
7,4,7,0.000111686
7,5,7,1.40E-06
7,6,7,1.87E-05
7,7,7,0
7,8,7,1.73E-05
7,9,7,3.75E-05
7,10,7,5.24E-07
7,11,7,3.23E-05
7,12,7,1.05E-05
7,13,7,2.97E-06
7,14,7,3.70E-05
7,15,7,1.87E-05
7,16,7,8.55E-06
7,17,7,6.98E-07
7,18,7,1.68E-05
7,19,7,2.98E-05
7,20,7,0.000111162
7,21,7,3.61E-05
7,22,7,1.92E-06
7,23,7,0.00016875
7,24,7,5.24E-07
7,25,7,2.70E-05
7,26,7,4.15E-05
7,27,7,0.000456515
7,28,7,6.98E-06
7,29,7,8.73E-07
7,30,7,8.36E-05
7,31,7,1.75E-05
7,32,7,2.27E-06
8,1,8,4.21E-06
8,2,8,1.42E-05
8,3,8,1.05E-06
8,4,8,6.58E-06
8,5,8,7.16E-05
8,6,8,3.42E-06
8,7,8,1.45E-05
8,8,8,0
